Codigo,DataVenda,CodFilial,CodCliente,NomeCliente,CidadeCliente,EstadoCliente,CodProduto,DescricaoProdutos,CodVendedor,NomeVendedor,ValorBruto,ValorLiquido,Desconto,Variação
140,2024-11-30 14:52:16,22,2288,BRUNA CUTAIT ME,Porto Alegre,RS,357412,PALETE MEDIO,6568,Leandro Pinto,14239.19,12103.31,2135.8785,0.15
141,2025-08-02 00:56:12,24,2488,A&C LABOR ASSIST. TECNICA HOSPITALAR LTDA ME,Teresina,PI,357896,PALETE GRANDE,1241,Gabriela Rocha,16758.41,14244.65,2513.7615,0.15
142,2025-07-28 20:27:49,33,3388,MUNICIPIO DE CUIABA,Cuiabá,MT,985214,REFRIGERADOR TS4,1254,Larissa Barbosa,5452.10,4634.29,817.815,0.15
143,2025-05-31 05:16:13,12,1254,EXLAB - LABORATORIO DE ANALISES CLINICAS LTDA,Goiânia,GO,985214,REFRIGERADOR TS4,1596,Mateus Carvalho,5680.00,4828.00,852,0.15
144,2024-10-15 18:58:24,16,1698,LAB. MEDICO DR. MARICONDI LTDA,Rio Branco,AC,123456,CARRO TRANSPORTE,1254,Larissa Barbosa,19710.98,16754.33,2956.647,0.15
145,2025-06-13 11:18:51,34,3488,MASTER DIAGNOSTICA PROD.LAB. E HOSP. LTDA,São Luís,MA,741852,GAVETA QUADRO,2369,Mariana Dias,10916.40,9278.94,1637.46,0.15
146,2024-11-30 17:11:26,31,3188,ADDLIFE DIAGNOSTICOS LTDA,Belém,PA,852963,MANOPLA TW12,2425,Bruno Rodrigues,1565.64,1330.79,234.846,0.15
147,2024-11-19 07:37:58,33,3388,MUNICIPIO DE CUIABA,Cuiabá,MT,963852,MANOPLA TW24,1478,Ricardo Almeida,10186.37,8658.41,1527.9555,0.15
148,2024-09-14 02:01:39,34,3488,MASTER DIAGNOSTICA PROD.LAB. E HOSP. LTDA,São Luís,MA,852741,MANOPLA ZW64,1241,Gabriela Rocha,8169.14,6943.77,1225.371,0.15
149,2025-02-08 07:10:20,17,1789,ANIMA CENTRO HOSPITALAR LTDA,Campo Grande,MS,963741,MANOPLA ZW90,1241,Gabriela Rocha,7596.00,6456.60,1139.4,0.15
150,2025-02-18 16:27:35,30,3089,VITAL SYSTEMS ,Salvador,BA,789456,EIXO 12X48,8745,João Silva,15405.64,13094.79,2310.846,0.15
151,2024-09-04 15:08:34,34,3488,MASTER DIAGNOSTICA PROD.LAB. E HOSP. LTDA,São Luís,MA,123798,EIXO 24X48,1596,Mateus Carvalho,15895.66,13511.31,2384.349,0.15
152,2024-09-13 17:35:02,11,1155,HEMOCLIN CLINICA HEMATOLOGICA LTDA,Florianópolis,SC,147258,EIXO 36X48,9856,Juliana Ferreira,17869.99,15189.49,2680.4985,0.15
153,2025-01-03 05:26:39,30,3089,VITAL SYSTEMS ,Salvador,BA,258369,EIXO 48X48,4748,Thiago Nascimento,13835.54,11760.21,2075.331,0.15
154,2024-08-20 08:13:14,29,2989,LBX PRODUTOS PARA LAB. LTDA,Maceió,AL,951236,PORTA PALETE ,6454,Gustavo Ribeiro,3193.62,2714.58,479.043,0.15
155,2025-04-18 11:39:18,15,1599,HEMOLAB LAB. HEMAT. ANAL. CLINICAS,Macapá,AP,325874,SUPORTE PORTA,1596,Mateus Carvalho,18889.91,16056.42,2833.4865,0.15
156,2024-08-20 18:51:33,28,2888,LUIZ BATISTA EIRELI,Porto Velho,RO,753698,PALETE PEQUENO,5859,Carlos Souza,16590.22,14101.69,2488.533,0.15
157,2024-10-10 10:03:10,14,1488,SYNVIA LABORATÓRIOS E TOXICOLOGIA LTDA,Boa Vista,RR,357412,PALETE MEDIO,9897,Felipe Araújo,5928.94,5039.60,889.341,0.15
158,2025-02-12 15:18:24,12,1254,EXLAB - LABORATORIO DE ANALISES CLINICAS LTDA,Goiânia,GO,357896,PALETE GRANDE,1478,Ricardo Almeida,6209.46,5278.04,931.419,0.15
159,2024-11-16 14:55:49,23,2388,DIAFARMA PROD. P/LABORATORIOS LTDA,Fortaleza,CE,985214,REFRIGERADOR TS4,3256,Letícia Moreira,19914.80,16927.58,2987.22,0.15
160,2025-04-19 07:27:31,27,2787,TATIANE FLORES,Brasília,DF,985214,REFRIGERADOR TS4,5859,Carlos Souza,3049.87,2592.39,457.4805,0.15
161,2025-05-31 05:56:34,33,3388,MUNICIPIO DE CUIABA,Cuiabá,MT,123456,CARRO TRANSPORTE,2425,Bruno Rodrigues,8348.19,7095.96,1252.2285,0.15
162,2024-09-18 18:10:42,22,2288,BRUNA CUTAIT ME,Porto Alegre,RS,741852,GAVETA QUADRO,1616,Lucas Cardoso,4034.29,3429.15,605.1435,0.15
163,2024-10-08 04:07:57,27,2787,TATIANE FLORES,Brasília,DF,852963,MANOPLA TW12,1616,Lucas Cardoso,4281.94,3639.65,642.291,0.15
164,2024-08-18 17:35:44,34,3488,MASTER DIAGNOSTICA PROD.LAB. E HOSP. LTDA,São Luís,MA,963852,MANOPLA TW24,1616,Lucas Cardoso,7064.33,6004.68,1059.6495,0.15
165,2025-01-05 06:14:38,33,3388,MUNICIPIO DE CUIABA,Cuiabá,MT,852741,MANOPLA ZW64,4748,Thiago Nascimento,9807.94,8336.75,1471.191,0.15
166,2025-04-25 05:11:18,27,2787,TATIANE FLORES,Brasília,DF,963741,MANOPLA ZW90,3256,Letícia Moreira,5308.58,4512.29,796.287,0.15
167,2025-07-04 23:23:17,12,1254,EXLAB - LABORATORIO DE ANALISES CLINICAS LTDA,Goiânia,GO,789456,EIXO 12X48,2425,Bruno Rodrigues,18957.08,16113.52,2843.562,0.15
168,2025-07-02 21:49:14,29,2989,LBX PRODUTOS PARA LAB. LTDA,Maceió,AL,123798,EIXO 24X48,1010,Maria Santos,8942.74,7601.33,1341.411,0.15
169,2024-08-27 09:20:18,11,1155,HEMOCLIN CLINICA HEMATOLOGICA LTDA,Florianópolis,SC,147258,EIXO 36X48,1616,Lucas Cardoso,5910.35,5023.80,886.5525,0.15
170,2024-09-14 22:36:02,23,2388,DIAFARMA PROD. P/LABORATORIOS LTDA,Fortaleza,CE,258369,EIXO 48X48,7539,Rafael Pereira,5626.71,4782.70,844.0065,0.15
171,2024-09-17 02:01:02,14,1488,SYNVIA LABORATÓRIOS E TOXICOLOGIA LTDA,Boa Vista,RR,951236,PORTA PALETE ,2369,Mariana Dias,14719.87,12511.89,2207.9805,0.15
172,2025-04-10 03:47:55,14,1488,SYNVIA LABORATÓRIOS E TOXICOLOGIA LTDA,Boa Vista,RR,325874,SUPORTE PORTA,4748,Thiago Nascimento,9610.97,8169.32,1441.6455,0.15
173,2024-12-10 04:06:47,14,1488,SYNVIA LABORATÓRIOS E TOXICOLOGIA LTDA,Boa Vista,RR,753698,PALETE PEQUENO,5859,Carlos Souza,5552.97,4720.02,832.9455,0.15
174,2025-07-06 19:09:39,22,2288,BRUNA CUTAIT ME,Porto Alegre,RS,357412,PALETE MEDIO,1516,Beatriz Gomes,4449.29,3781.90,667.3935,0.15
175,2024-10-25 16:02:54,33,3388,MUNICIPIO DE CUIABA,Cuiabá,MT,357896,PALETE GRANDE,1478,Ricardo Almeida,2493.76,2119.70,374.064,0.15
176,2025-03-10 08:39:29,19,1958,LAB. PASTEUR LTDA,Rio de Janeiro,RJ,985214,REFRIGERADOR TS4,7531,Pedro Costa,11155.58,9482.24,1673.337,0.15
177,2024-09-09 11:47:55,23,2388,DIAFARMA PROD. P/LABORATORIOS LTDA,Fortaleza,CE,985214,REFRIGERADOR TS4,8521,Tatiana Lopes,24002.63,20402.24,3600.3945,0.15
178,2025-07-02 14:40:24,13,1315,LEMOS LAB. DE ANALISES CLINICAS S/S LTDA,Natal,RN,123456,CARRO TRANSPORTE,1254,Larissa Barbosa,16130.03,13710.53,2419.5045,0.15
179,2025-05-19 22:18:42,11,1155,HEMOCLIN CLINICA HEMATOLOGICA LTDA,Florianópolis,SC,741852,GAVETA QUADRO,4748,Thiago Nascimento,23126.89,19657.86,3469.0335,0.15
180,2024-11-27 01:48:02,21,2189,ANDREY PAIXAO SILVA,Recife,PE,852963,MANOPLA TW12,1010,Maria Santos,12896.54,10962.06,1934.481,0.15
181,2025-06-18 07:41:19,35,3598,BIOVALENT PRODUTOS E EQUIP. LABORATORIAIS LTDA ME,Manaus,AM,963852,MANOPLA TW24,4567,Camila Martins,9269.71,7879.25,1390.4565,0.15
182,2025-07-05 11:17:02,18,1887,LABORCENTER FRANCAII,João Pessoa,PB,852741,MANOPLA ZW64,4879,Vanessa Correia,3759.33,3195.43,563.8995,0.15
183,2024-10-26 03:57:23,36,3688,GL REPRESENTACOES,Vitória,ES,963741,MANOPLA ZW90,5514,Priscila Campos,7968.38,6773.12,1195.257,0.15
184,2024-11-09 23:22:24,34,3488,MASTER DIAGNOSTICA PROD.LAB. E HOSP. LTDA,São Luís,MA,789456,EIXO 12X48,2425,Bruno Rodrigues,4354.27,3701.13,653.1405,0.15
185,2024-09-28 16:30:20,34,3488,MASTER DIAGNOSTICA PROD.LAB. E HOSP. LTDA,São Luís,MA,123798,EIXO 24X48,6568,Leandro Pinto,5452.10,4634.29,817.815,0.15
186,2025-04-11 21:19:13,10,1012,LAB. DE ANALISES CLINICAS LORENA LTDA ME,Campinas,SP,147258,EIXO 36X48,1241,Gabriela Rocha,4257.34,3618.74,638.601,0.15
187,2024-11-04 20:14:04,20,2098,QUIBASA - QUIMICA BASICA LTDA,Palmas,TO,258369,EIXO 48X48,1254,Larissa Barbosa,17433.02,14818.07,2614.953,0.15
188,2025-01-08 15:27:14,13,1315,LEMOS LAB. DE ANALISES CLINICAS S/S LTDA,Natal,RN,951236,PORTA PALETE ,1596,Mateus Carvalho,3193.62,2714.58,479.043,0.15
189,2025-03-30 22:44:51,10,1010,ASSOC. DAS PIONEIRAS SOCIAIS,São Paulo,SP,325874,SUPORTE PORTA,1254,Larissa Barbosa,9415.68,8003.33,1412.352,0.15
190,2025-01-03 15:15:29,34,3488,MASTER DIAGNOSTICA PROD.LAB. E HOSP. LTDA,São Luís,MA,753698,PALETE PEQUENO,2369,Mariana Dias,23427.55,19913.42,3514.1325,0.15
191,2025-02-20 03:26:12,25,2589,HOREBE DIAGNOSTICA PROTUTOS LABORATORIAIS LTDA,Aracaju,SE,357412,PALETE MEDIO,2425,Bruno Rodrigues,2048.91,1741.57,307.3365,0.15
192,2025-01-26 06:37:59,19,1958,LAB. PASTEUR LTDA,Rio de Janeiro,RJ,357896,PALETE GRANDE,1478,Ricardo Almeida,4817.86,4215.63,602.2325,0.125
193,2025-06-28 12:35:56,26,2688,ZOOGENE LAB. ANIMAL LTDA,Curitiba,PR,985214,REFRIGERADOR TS4,1241,Gabriela Rocha,5197.95,4548.21,649.74375,0.125
194,2025-05-23 00:20:31,18,1887,LABORCENTER FRANCAII,João Pessoa,PB,985214,REFRIGERADOR TS4,1241,Gabriela Rocha,16590.22,14516.44,2073.7775,0.125
195,2024-09-13 14:34:50,28,2888,LUIZ BATISTA EIRELI,Porto Velho,RO,123456,CARRO TRANSPORTE,8745,João Silva,15235.35,13330.93,1904.41875,0.125
196,2025-03-15 22:07:20,12,1254,EXLAB - LABORATORIO DE ANALISES CLINICAS LTDA,Goiânia,GO,741852,GAVETA QUADRO,1596,Mateus Carvalho,19102.42,16714.62,2387.8025,0.125
197,2025-08-09 16:18:15,35,3598,BIOVALENT PRODUTOS E EQUIP. LABORATORIAIS LTDA ME,Manaus,AM,852963,MANOPLA TW12,9856,Juliana Ferreira,22268.80,19485.20,2783.6,0.125
198,2025-07-21 10:49:49,33,3388,MUNICIPIO DE CUIABA,Cuiabá,MT,963852,MANOPLA TW24,4748,Thiago Nascimento,5928.94,5187.82,741.1175,0.125
199,2024-11-12 22:27:23,18,1887,LABORCENTER FRANCAII,João Pessoa,PB,852741,MANOPLA ZW64,6454,Gustavo Ribeiro,10082.28,8822.00,1260.285,0.125
200,2024-11-02 14:50:43,13,1315,LEMOS LAB. DE ANALISES CLINICAS S/S LTDA,Natal,RN,963741,MANOPLA ZW90,1596,Mateus Carvalho,5726.47,5010.66,715.80875,0.125
201,2024-08-28 01:54:52,23,2388,DIAFARMA PROD. P/LABORATORIOS LTDA,Fortaleza,CE,789456,EIXO 12X48,5859,Carlos Souza,1668.21,1459.68,208.52625,0.125
202,2024-08-25 12:51:42,23,2388,DIAFARMA PROD. P/LABORATORIOS LTDA,Fortaleza,CE,123798,EIXO 24X48,9897,Felipe Araújo,11883.00,10397.63,1485.375,0.125
203,2024-10-20 06:40:28,25,2589,HOREBE DIAGNOSTICA PROTUTOS LABORATORIAIS LTDA,Aracaju,SE,147258,EIXO 36X48,1478,Ricardo Almeida,24578.24,21505.96,3072.28,0.125
204,2024-09-19 09:24:25,36,3688,GL REPRESENTACOES,Vitória,ES,258369,EIXO 48X48,3256,Letícia Moreira,20557.36,17987.69,2569.67,0.125
205,2025-01-23 04:22:35,10,1010,ASSOC. DAS PIONEIRAS SOCIAIS,São Paulo,SP,951236,PORTA PALETE ,5859,Carlos Souza,8941.49,7823.80,1117.68625,0.125
206,2025-05-04 21:20:05,10,1010,ASSOC. DAS PIONEIRAS SOCIAIS,São Paulo,SP,325874,SUPORTE PORTA,2425,Bruno Rodrigues,7064.33,6181.29,883.04125,0.125
207,2025-06-19 10:44:47,31,3188,ADDLIFE DIAGNOSTICOS LTDA,Belém,PA,753698,PALETE PEQUENO,1616,Lucas Cardoso,6995.87,6121.39,874.48375,0.125
208,2025-06-27 05:25:57,20,2098,QUIBASA - QUIMICA BASICA LTDA,Palmas,TO,357412,PALETE MEDIO,1616,Lucas Cardoso,12680.72,11095.63,1585.09,0.125
209,2024-11-24 23:08:00,28,2888,LUIZ BATISTA EIRELI,Porto Velho,RO,357896,PALETE GRANDE,1616,Lucas Cardoso,9269.71,8111.00,1158.71375,0.125
210,2025-07-12 05:11:45,27,2787,TATIANE FLORES,Brasília,DF,985214,REFRIGERADOR TS4,4748,Thiago Nascimento,21313.00,18648.88,2664.125,0.125
211,2024-12-22 13:14:10,32,3287,VITALLIS DIAGNOSTICA LTDA,Belo Horizonte,MG,985214,REFRIGERADOR TS4,3256,Letícia Moreira,15876.53,13891.96,1984.56625,0.125
212,2025-06-27 04:27:38,33,3388,MUNICIPIO DE CUIABA,Cuiabá,MT,123456,CARRO TRANSPORTE,2425,Bruno Rodrigues,5172.23,4525.70,646.52875,0.125
213,2025-01-29 11:19:29,11,1155,HEMOCLIN CLINICA HEMATOLOGICA LTDA,Florianópolis,SC,741852,GAVETA QUADRO,1010,Maria Santos,9789.72,8566.01,1223.715,0.125
214,2024-11-27 08:11:34,35,3598,BIOVALENT PRODUTOS E EQUIP. LABORATORIAIS LTDA ME,Manaus,AM,852963,MANOPLA TW12,1616,Lucas Cardoso,4879.00,4269.13,609.875,0.125
215,2024-10-01 13:24:10,30,3089,VITAL SYSTEMS ,Salvador,BA,963852,MANOPLA TW24,7539,Rafael Pereira,3706.89,3243.53,463.36125,0.125
216,2024-12-13 14:23:09,30,3089,VITAL SYSTEMS ,Salvador,BA,852741,MANOPLA ZW64,2369,Mariana Dias,10009.51,8758.32,1251.18875,0.125
217,2025-06-28 13:41:55,11,1155,HEMOCLIN CLINICA HEMATOLOGICA LTDA,Florianópolis,SC,963741,MANOPLA ZW90,4748,Thiago Nascimento,3099.13,2711.74,387.39125,0.125
218,2025-06-18 18:25:20,15,1599,HEMOLAB LAB. HEMAT. ANAL. CLINICAS,Macapá,AP,789456,EIXO 12X48,5859,Carlos Souza,5452.10,4770.59,681.5125,0.125
219,2025-05-24 07:24:55,11,1155,HEMOCLIN CLINICA HEMATOLOGICA LTDA,Florianópolis,SC,123798,EIXO 24X48,1516,Beatriz Gomes,9118.72,7978.88,1139.84,0.125
220,2025-05-20 12:03:47,27,2787,TATIANE FLORES,Brasília,DF,147258,EIXO 36X48,1478,Ricardo Almeida,10828.40,9474.85,1353.55,0.125
221,2025-02-18 03:14:11,12,1254,EXLAB - LABORATORIO DE ANALISES CLINICAS LTDA,Goiânia,GO,258369,EIXO 48X48,7531,Pedro Costa,9679.57,8469.62,1209.94625,0.125
222,2024-09-04 02:43:31,17,1789,ANIMA CENTRO HOSPITALAR LTDA,Campo Grande,MS,951236,PORTA PALETE ,8521,Tatiana Lopes,20679.58,18094.63,2584.9475,0.125
223,2025-07-01 11:27:10,19,1958,LAB. PASTEUR LTDA,Rio de Janeiro,RJ,325874,SUPORTE PORTA,1254,Larissa Barbosa,1647.81,1441.83,205.97625,0.125
224,2025-06-02 11:26:35,24,2488,A&C LABOR ASSIST. TECNICA HOSPITALAR LTDA ME,Teresina,PI,753698,PALETE PEQUENO,4748,Thiago Nascimento,11710.82,10246.97,1463.8525,0.125
225,2024-08-30 03:58:45,23,2388,DIAFARMA PROD. P/LABORATORIOS LTDA,Fortaleza,CE,357412,PALETE MEDIO,1010,Maria Santos,22671.76,19837.79,2833.97,0.125
226,2025-01-05 02:09:25,16,1698,LAB. MEDICO DR. MARICONDI LTDA,Rio Branco,AC,357896,PALETE GRANDE,4567,Camila Martins,4869.64,4260.94,608.705,0.125
227,2025-04-10 09:12:11,19,1958,LAB. PASTEUR LTDA,Rio de Janeiro,RJ,985214,REFRIGERADOR TS4,4879,Vanessa Correia,16711.62,14622.67,2088.9525,0.125
228,2024-11-05 05:27:43,36,3688,GL REPRESENTACOES,Vitória,ES,985214,REFRIGERADOR TS4,5514,Priscila Campos,5289.47,4628.29,661.18375,0.125
229,2025-07-25 03:36:07,19,1958,LAB. PASTEUR LTDA,Rio de Janeiro,RJ,123456,CARRO TRANSPORTE,2425,Bruno Rodrigues,3497.99,3060.74,437.24875,0.125
230,2024-08-29 10:17:49,21,2189,ANDREY PAIXAO SILVA,Recife,PE,741852,GAVETA QUADRO,6568,Leandro Pinto,3193.62,2794.42,399.2025,0.125
231,2025-07-24 03:18:31,23,2388,DIAFARMA PROD. P/LABORATORIOS LTDA,Fortaleza,CE,852963,MANOPLA TW12,1241,Gabriela Rocha,8996.31,7871.77,1124.53875,0.125
232,2025-07-06 12:45:50,15,1599,HEMOLAB LAB. HEMAT. ANAL. CLINICAS,Macapá,AP,963852,MANOPLA TW24,1254,Larissa Barbosa,10883.70,9523.24,1360.4625,0.125
233,2024-09-16 18:06:41,19,1958,LAB. PASTEUR LTDA,Rio de Janeiro,RJ,852741,MANOPLA ZW64,1596,Mateus Carvalho,21892.30,19155.76,2736.5375,0.125
234,2025-06-11 03:05:06,18,1887,LABORCENTER FRANCAII,João Pessoa,PB,963741,MANOPLA ZW90,1254,Larissa Barbosa,3098.98,2711.61,387.3725,0.125
235,2024-09-28 10:47:03,17,1789,ANIMA CENTRO HOSPITALAR LTDA,Campo Grande,MS,789456,EIXO 12X48,2369,Mariana Dias,10895.17,9533.27,1361.89625,0.125
236,2024-10-26 00:53:50,20,2098,QUIBASA - QUIMICA BASICA LTDA,Palmas,TO,123798,EIXO 24X48,2425,Bruno Rodrigues,9949.14,8705.50,1243.6425,0.125
237,2025-05-05 08:52:47,34,3488,MASTER DIAGNOSTICA PROD.LAB. E HOSP. LTDA,São Luís,MA,147258,EIXO 36X48,1478,Ricardo Almeida,20952.51,18333.45,2619.06375,0.125
238,2025-01-23 11:04:29,10,1012,LAB. DE ANALISES CLINICAS LORENA LTDA ME,Campinas,SP,258369,EIXO 48X48,1241,Gabriela Rocha,8894.41,7782.61,1111.80125,0.125
239,2024-10-24 06:13:07,12,1254,EXLAB - LABORATORIO DE ANALISES CLINICAS LTDA,Goiânia,GO,951236,PORTA PALETE ,1241,Gabriela Rocha,1829.15,1600.51,228.64375,0.125
240,2025-03-12 11:29:43,24,2488,A&C LABOR ASSIST. TECNICA HOSPITALAR LTDA ME,Teresina,PI,325874,SUPORTE PORTA,8745,João Silva,11069.00,9685.38,1383.625,0.125
241,2025-07-11 12:23:55,20,2098,QUIBASA - QUIMICA BASICA LTDA,Palmas,TO,753698,PALETE PEQUENO,1596,Mateus Carvalho,4773.15,4176.51,596.64375,0.125
242,2024-12-15 12:17:49,14,1488,SYNVIA LABORATÓRIOS E TOXICOLOGIA LTDA,Boa Vista,RR,357412,PALETE MEDIO,9856,Juliana Ferreira,4398.93,3849.06,549.86625,0.125
243,2025-05-26 02:46:22,18,1887,LABORCENTER FRANCAII,João Pessoa,PB,357896,PALETE GRANDE,4748,Thiago Nascimento,16590.22,14516.44,2073.7775,0.125
244,2024-10-12 00:32:47,26,2688,ZOOGENE LAB. ANIMAL LTDA,Curitiba,PR,985214,REFRIGERADOR TS4,6454,Gustavo Ribeiro,5837.54,5107.85,729.6925,0.125
245,2024-10-02 03:22:15,22,2288,BRUNA CUTAIT ME,Porto Alegre,RS,985214,REFRIGERADOR TS4,1596,Mateus Carvalho,2635.53,2306.09,329.44125,0.125
246,2024-11-15 08:25:39,20,2098,QUIBASA - QUIMICA BASICA LTDA,Palmas,TO,123456,CARRO TRANSPORTE,5859,Carlos Souza,18021.36,15768.69,2252.67,0.125
247,2024-12-19 21:58:08,23,2388,DIAFARMA PROD. P/LABORATORIOS LTDA,Fortaleza,CE,741852,GAVETA QUADRO,9897,Felipe Araújo,2852.67,2496.09,356.58375,0.125
248,2025-05-11 16:09:51,18,1887,LABORCENTER FRANCAII,João Pessoa,PB,852963,MANOPLA TW12,1478,Ricardo Almeida,21694.42,18982.62,2711.8025,0.125
249,2024-09-14 11:47:45,17,1789,ANIMA CENTRO HOSPITALAR LTDA,Campo Grande,MS,963852,MANOPLA TW24,3256,Letícia Moreira,19659.92,17202.43,2457.49,0.125
250,2024-08-16 23:50:31,35,3598,BIOVALENT PRODUTOS E EQUIP. LABORATORIAIS LTDA ME,Manaus,AM,852741,MANOPLA ZW64,5859,Carlos Souza,5928.94,5187.82,741.1175,0.125
251,2025-01-17 04:41:07,12,1254,EXLAB - LABORATORIO DE ANALISES CLINICAS LTDA,Goiânia,GO,963741,MANOPLA ZW90,2425,Bruno Rodrigues,18640.55,16310.48,2330.06875,0.125
252,2024-11-29 12:49:56,26,2688,ZOOGENE LAB. ANIMAL LTDA,Curitiba,PR,789456,EIXO 12X48,1616,Lucas Cardoso,7064.33,6181.29,883.04125,0.125
253,2025-02-06 23:33:03,18,1887,LABORCENTER FRANCAII,João Pessoa,PB,123798,EIXO 24X48,1616,Lucas Cardoso,24640.14,21560.12,3080.0175,0.125
254,2025-03-18 21:00:50,25,2589,HOREBE DIAGNOSTICA PROTUTOS LABORATORIAIS LTDA,Aracaju,SE,147258,EIXO 36X48,1616,Lucas Cardoso,3095.59,2708.64,386.94875,0.125
255,2024-12-26 14:59:05,34,3488,MASTER DIAGNOSTICA PROD.LAB. E HOSP. LTDA,São Luís,MA,258369,EIXO 48X48,4748,Thiago Nascimento,9269.71,8111.00,1158.71375,0.125
256,2025-08-02 05:15:48,32,3287,VITALLIS DIAGNOSTICA LTDA,Belo Horizonte,MG,951236,PORTA PALETE ,3256,Letícia Moreira,13427.62,11749.17,1678.4525,0.125
257,2025-06-01 00:14:52,15,1599,HEMOLAB LAB. HEMAT. ANAL. CLINICAS,Macapá,AP,325874,SUPORTE PORTA,2425,Bruno Rodrigues,10033.42,8779.24,1254.1775,0.125
258,2025-06-11 07:20:01,18,1887,LABORCENTER FRANCAII,João Pessoa,PB,753698,PALETE PEQUENO,1010,Maria Santos,5635.88,4931.40,704.485,0.125
259,2025-04-18 18:18:12,21,2189,ANDREY PAIXAO SILVA,Recife,PE,357412,PALETE MEDIO,1616,Lucas Cardoso,23674.04,20714.79,2959.255,0.125
260,2025-06-15 11:14:48,33,3388,MUNICIPIO DE CUIABA,Cuiabá,MT,357896,PALETE GRANDE,7539,Rafael Pereira,6960.62,6090.54,870.0775,0.125
261,2025-04-19 20:47:26,36,3688,GL REPRESENTACOES,Vitória,ES,985214,REFRIGERADOR TS4,2369,Mariana Dias,10480.89,9170.78,1310.11125,0.125
262,2025-05-20 10:20:06,28,2888,LUIZ BATISTA EIRELI,Porto Velho,RO,985214,REFRIGERADOR TS4,4748,Thiago Nascimento,5452.10,4770.59,681.5125,0.125
263,2024-09-16 14:49:45,29,2989,LBX PRODUTOS PARA LAB. LTDA,Maceió,AL,123456,CARRO TRANSPORTE,5859,Carlos Souza,3376.00,2954.00,422,0.125
264,2024-08-21 04:34:48,35,3598,BIOVALENT PRODUTOS E EQUIP. LABORATORIAIS LTDA ME,Manaus,AM,741852,GAVETA QUADRO,1516,Beatriz Gomes,3565.89,3120.15,445.73625,0.125
265,2025-01-01 22:58:42,20,2098,QUIBASA - QUIMICA BASICA LTDA,Palmas,TO,852963,MANOPLA TW12,1478,Ricardo Almeida,3193.62,2794.42,399.2025,0.125
266,2025-08-04 06:56:06,28,2888,LUIZ BATISTA EIRELI,Porto Velho,RO,963852,MANOPLA TW24,7531,Pedro Costa,16590.22,14516.44,2073.7775,0.125
267,2024-10-14 02:14:39,10,1012,LAB. DE ANALISES CLINICAS LORENA LTDA ME,Campinas,SP,852741,MANOPLA ZW64,8521,Tatiana Lopes,5776.44,5054.39,722.055,0.125
268,2025-07-03 20:15:14,25,2589,HOREBE DIAGNOSTICA PROTUTOS LABORATORIAIS LTDA,Aracaju,SE,963741,MANOPLA ZW90,1254,Larissa Barbosa,8335.17,7293.27,1041.89625,0.125
269,2024-11-15 20:26:24,25,2589,HOREBE DIAGNOSTICA PROTUTOS LABORATORIAIS LTDA,Aracaju,SE,789456,EIXO 12X48,4748,Thiago Nascimento,11384.92,9961.81,1423.115,0.125
270,2024-08-22 01:44:37,35,3598,BIOVALENT PRODUTOS E EQUIP. LABORATORIAIS LTDA ME,Manaus,AM,123798,EIXO 24X48,1010,Maria Santos,2940.66,2573.08,367.5825,0.125
271,2025-01-24 16:12:18,15,1599,HEMOLAB LAB. HEMAT. ANAL. CLINICAS,Macapá,AP,147258,EIXO 36X48,4567,Camila Martins,9182.37,8034.57,1147.79625,0.125
272,2024-09-27 23:05:58,13,1315,LEMOS LAB. DE ANALISES CLINICAS S/S LTDA,Natal,RN,258369,EIXO 48X48,4879,Vanessa Correia,5148.14,4504.62,643.5175,0.125
273,2025-02-06 18:23:39,27,2787,TATIANE FLORES,Brasília,DF,951236,PORTA PALETE ,5514,Priscila Campos,15397.82,13473.09,1924.7275,0.125
274,2024-10-30 13:33:57,23,2388,DIAFARMA PROD. P/LABORATORIOS LTDA,Fortaleza,CE,325874,SUPORTE PORTA,2425,Bruno Rodrigues,5928.94,5187.82,741.1175,0.125
275,2025-01-08 21:28:28,22,2288,BRUNA CUTAIT ME,Porto Alegre,RS,753698,PALETE PEQUENO,6568,Leandro Pinto,9745.55,8527.36,1218.19375,0.125
276,2025-01-03 03:07:25,30,3089,VITAL SYSTEMS ,Salvador,BA,357412,PALETE MEDIO,1241,Gabriela Rocha,23874.56,20890.24,2984.32,0.125
277,2025-06-23 09:11:49,19,1958,LAB. PASTEUR LTDA,Rio de Janeiro,RJ,357896,PALETE GRANDE,1254,Larissa Barbosa,4288.95,3752.83,536.11875,0.125
278,2024-09-24 11:47:41,12,1254,EXLAB - LABORATORIO DE ANALISES CLINICAS LTDA,Goiânia,GO,985214,REFRIGERADOR TS4,1596,Mateus Carvalho,7064.33,6181.29,883.04125,0.125
279,2025-06-25 19:13:23,30,3089,VITAL SYSTEMS ,Salvador,BA,985214,REFRIGERADOR TS4,1254,Larissa Barbosa,1842.65,1612.32,230.33125,0.125
280,2025-03-17 01:57:53,23,2388,DIAFARMA PROD. P/LABORATORIOS LTDA,Fortaleza,CE,123456,CARRO TRANSPORTE,2369,Mariana Dias,12711.67,11122.71,1588.95875,0.125
281,2024-10-20 10:59:07,24,2488,A&C LABOR ASSIST. TECNICA HOSPITALAR LTDA ME,Teresina,PI,741852,GAVETA QUADRO,2425,Bruno Rodrigues,4935.96,4318.97,616.995,0.125
